QKEY,F_INC_SDT1,F_EDUCCAT,F_AGECAT,F_GENDER,F_RACECMB,F_RACETHNMOD,CHATUSE_W152,USEAI_W152
674011,9.0,1.0,3.0,2.0,3.0,5.0,1.0,2.0
674200,7.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
674255,4.0,2.0,4.0,1.0,4.0,4.0,0.0,5.0
674682,9.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0
674960,3.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0
675257,9.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
676644,5.0,1.0,3.0,2.0,1.0,1.0,,4.0
677397,8.0,1.0,4.0,1.0,1.0,1.0,,5.0
677553,9.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0
677559,2.0,3.0,3.0,1.0,5.0,3.0,,5.0
678074,9.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0
678383,1.0,3.0,3.0,2.0,1.0,3.0,,5.0
678783,9.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0
678920,3.0,2.0,4.0,2.0,1.0,1.0,,5.0
679176,7.0,2.0,2.0,1.0,3.0,5.0,0.0,5.0
679496,6.0,2.0,4.0,1.0,4.0,3.0,0.0,5.0
680275,3.0,2.0,4.0,1.0,2.0,2.0,,5.0
680458,6.0,3.0,2.0,2.0,1.0,3.0,,5.0
680547,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
680585,9.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0
680766,8.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0
681508,2.0,3.0,2.0,2.0,1.0,1.0,,5.0
682887,9.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0
683500,3.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0
684598,2.0,2.0,2.0,2.0,1.0,1.0,0.0,5.0
685156,7.0,1.0,2.0,2.0,1.0,1.0,,5.0
685341,4.0,1.0,3.0,2.0,1.0,1.0,0.0,5.0
685770,6.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0
686774,1.0,3.0,4.0,1.0,1.0,1.0,0.0,4.0
686950,9.0,1.0,2.0,2.0,1.0,1.0,,2.0
687555,8.0,1.0,2.0,2.0,1.0,1.0,0.0,5.0
687565,5.0,2.0,3.0,1.0,2.0,2.0,1.0,5.0
688022,9.0,1.0,1.0,1.0,3.0,5.0,0.0,3.0
688663,5.0,3.0,2.0,2.0,1.0,1.0,0.0,5.0
689257,9.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0
690065,9.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
690122,9.0,1.0,4.0,1.0,1.0,1.0,0.0,4.0
690640,6.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
690650,5.0,1.0,2.0,2.0,2.0,2.0,0.0,5.0
690653,3.0,2.0,4.0,1.0,1.0,1.0,0.0,2.0
691480,1.0,2.0,2.0,1.0,4.0,3.0,,1.0
691647,8.0,1.0,4.0,2.0,1.0,1.0,,5.0
692394,8.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0
692468,3.0,3.0,4.0,2.0,1.0,1.0,,5.0
692848,9.0,3.0,3.0,1.0,1.0,1.0,,5.0
694740,5.0,2.0,4.0,2.0,1.0,1.0,,5.0
694952,6.0,1.0,3.0,1.0,5.0,3.0,1.0,2.0
695017,9.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0
695649,9.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0
697609,2.0,3.0,4.0,1.0,1.0,1.0,,5.0
698477,1.0,3.0,2.0,3.0,1.0,3.0,1.0,4.0
698713,9.0,2.0,2.0,1.0,4.0,3.0,1.0,4.0
698957,8.0,2.0,2.0,1.0,1.0,3.0,,5.0
699458,7.0,1.0,2.0,1.0,1.0,1.0,,2.0
699479,9.0,1.0,4.0,1.0,1.0,1.0,,2.0
699679,7.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0
699716,9.0,2.0,4.0,1.0,1.0,1.0,0.0,5.0
699982,9.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0
701811,4.0,3.0,3.0,2.0,1.0,1.0,0.0,4.0
702321,4.0,3.0,3.0,1.0,2.0,2.0,,5.0
702342,9.0,3.0,3.0,2.0,1.0,1.0,0.0,4.0
702398,2.0,2.0,3.0,1.0,1.0,3.0,0.0,3.0
702867,2.0,2.0,4.0,2.0,1.0,3.0,,5.0
703189,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0
703244,7.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0
703526,3.0,2.0,4.0,2.0,1.0,1.0,,2.0
703590,7.0,2.0,4.0,2.0,1.0,1.0,0.0,2.0
703867,4.0,3.0,4.0,2.0,1.0,1.0,,5.0
703882,4.0,3.0,4.0,1.0,2.0,2.0,0.0,5.0
705066,8.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0
705522,9.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0
705563,7.0,2.0,1.0,1.0,5.0,3.0,1.0,4.0
705647,3.0,2.0,2.0,2.0,1.0,1.0,0.0,5.0
706169,5.0,3.0,2.0,2.0,1.0,1.0,0.0,3.0
706347,9.0,2.0,3.0,1.0,4.0,4.0,1.0,2.0
706967,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
707466,5.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0
707619,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0
707861,5.0,1.0,4.0,1.0,2.0,2.0,0.0,2.0
707980,8.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
708536,1.0,3.0,4.0,1.0,2.0,2.0,,3.0
708734,9.0,1.0,3.0,2.0,1.0,1.0,0.0,3.0
709593,1.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0
709781,3.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0
710339,6.0,2.0,4.0,,1.0,1.0,0.0,5.0
710918,9.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0
710952,8.0,2.0,2.0,1.0,1.0,1.0,,5.0
711936,9.0,1.0,4.0,2.0,1.0,3.0,0.0,2.0
712301,1.0,3.0,3.0,2.0,2.0,2.0,0.0,5.0
712906,9.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
714086,9.0,1.0,3.0,2.0,1.0,1.0,0.0,2.0
714196,9.0,1.0,2.0,1.0,3.0,5.0,1.0,4.0
714715,8.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0
715250,9.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0
715393,1.0,2.0,4.0,2.0,5.0,3.0,,5.0
715655,9.0,2.0,2.0,1.0,3.0,3.0,0.0,5.0
716158,3.0,2.0,3.0,2.0,1.0,3.0,,5.0
716589,9.0,1.0,3.0,2.0,1.0,1.0,0.0,2.0
716777,6.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0
717762,9.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
718173,9.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0
718333,5.0,1.0,3.0,1.0,3.0,5.0,0.0,5.0
718594,2.0,2.0,4.0,1.0,1.0,1.0,,4.0
718806,9.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
720429,9.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0
721482,9.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0
722222,5.0,2.0,3.0,1.0,1.0,1.0,,2.0
723240,2.0,1.0,4.0,2.0,1.0,1.0,,5.0
723561,9.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0
723634,4.0,1.0,3.0,1.0,1.0,1.0,0.0,5.0
724172,2.0,1.0,4.0,2.0,1.0,1.0,0.0,5.0
724791,9.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0
726121,4.0,3.0,4.0,1.0,2.0,2.0,0.0,5.0
726963,5.0,3.0,4.0,1.0,1.0,1.0,0.0,5.0
